OTU,Specimen_no,Barcode,Taxon,locality,kode_cluster,altitude ,w_ l.s,w_o l.s   ,spine_density,spine_shape,ocrea,knee,length ,petiole_length ,no_of_pairs,uppermost,uppermost,penultimate ,penultimate ,Median ,Median ,lowermost ,lowermost ,Prophyll_armature,Peduncle_bracts_shape,rachis_bracts_armature,no_of_cluster,cluster_length ,rachilla_no,rachilla length,bracts texture,bracts shape,bracts_texture,bracts _shape,scales_no,shape,L ,W ,shape,present_not
76,JD 1434,L 3928364,4: C. impar,"West Java, Mt. kendeng, Mt.Pajung; 150 m alt.; ♂",6,150,4,2,0,3,1,1,32,2,3,21.5,2.5,19,2.5,12.5,2.5,8.5,1.5,0,2.4,0,0,,3,6.0,,,1,0,,,,,,1
77,Backer 9996,L 3928363,javensis,"West Java, Jasinga, Gn.Gede; 800-1000 m alt., ♂",1,900,5,3,2,1,1,0,40,1,6,15,1.5,14,3,13,2.5,6.5,1,0,1,2,4,7.5,9,7.0,,,3,1,,,,,,
78,Backer 23821,L 3928362,javensis,"West Java, Cianjur, Gunung Sanggabuana; 1200 m alt.; inflor",1,1200,6,4,2,1,1,0,25,2,5,16,2.5,15,2.5,13.5,3,8,2,2,1,0,,,,3.5,3,0,,,,,,,,1
79,JD 1106,L 3928358,javensis,"West Java, Cibodas, forest fragmen in garden",1,1300,5,3,1,3,2,1,40,7,5,18,3,17,3.5,16,2.5,8,1.5,,,,,,,,,,,,1,0,,,,
80,Kosterman 23841,L 3928350,javensis,"West Java, Sukabumi Jampang Tengah, Lengkong,650 m alt.; ♀, infruct",1,650,7,3,0,2,1,0,30,0,5,16,1.5,16,2.5,13.5,2.5,17,2,2,1,2,,,,4.5,,,,,2,0,,,,1
81,JD 1033,L 3928351,javensis,"West Java, Sukabumi Jampang Tengah, Lengkong;  600 m alt, inflor.",1,600,5,3,1,3,2,1,40,2,5,15.5,2.5,16.5,2.5,12,2.5,6.5,1,0,3,2,,,,3.5,1,1,,,10,1,,,0,1
82,Junghun 43,L3928354,javensis,"West Java, Gn. Patuha",1,1500,5,3,2,0,2,0,39,1,6,17.5,2.5,16.5,3,18,2.5,7.5,2,0,2,0,1,9.5,6,6.0,,,3,0,,,,,,1
83,Moore,L 0617910,javensis,Sandakan,1,100,7,5,1,1,2,,91,0,7,26.5,4.5,25,4,21.5,3.5,16.5,3.5,,,,,,,,,,,,,,,,,1
84,SAN 100151,L 0617898,javensis,"Sabah, Sandakan, Ranau, Sagindai; 800 m alt",1,800,8,5,0,1,1,1,58,2,6,14.5,2.5,17,3.5,20,3.5,11,2.5,2,1,2,,,,,,,,,,,,,,1
85,De Vogel 1701,L 3933439,javensis,"South Kalimantan, Kab. Tanjung, Muara Uja, Mt. Sarempaka; 450 m alt",1,450,10,4,1,1,1,1,45,2,4,17,3.5,17,2.5,16,4,7.5,2.3,1.2,2,2,,,,,,,,,,,,,,1
86,JD 5673,L 0617882,javensis,"Sabah, Sandakan, Kinabalu; 2000 m alt., as JD 5672, but ♂",1,2000,8,5,2,1,0,1,40,4,5,15,3.5,16,3.5,14,4,11,2.5,2,1,1,,,,,,,,,,,,,,1
87,Fidilis Krispinus San 95821,,javensis,"Inflor, infruct",1,,7,5,1,1,1,1,43,0,,19,4,17,4,15,3.5,9,2,2,2.4,2,0,,7,5.0,1,0,,,,,,,,1
88,Bernard Lee S 52424,L 0617902,javensis,"Sarawak, Lawas, Ulu Trusan, Bukit Tebunan; 1000 m alt.; ♂",1,1000,10,,1,3,2,1,36,5,4,20,4,18,3,20,4,12,1.5,2,2,2,1,,7,7.0,,,1,0,,,,,,1
89,Masahiro Kato & Harry Wiriadinata B 4943,L 0617908,javensis,"East Kalimantan, Gunong Kongkat; 850-1150 m alt.",1,1000,10,6,0,,0,1,55,7,4,,,,,14,3.5,9,3,2,1.2,0,,,,,,,,,,,,,,1
90,Fidilis Krispinus SAN 114061,L 0617899,5: var congestiflorus,"Sabah, Sandakan, Pandewan, Mesopo River; ♀; Taxon 10",3,17,7,5,2,3,0,0,45,2,6,17,3.5,15,3.5,16,3,11,2.5,2,2.4,2.2,,,,,,,,,0,,0,,,1
91,Lambach 1328,L 3928335,javensis,"South Sumatra, Palembang, Kebau, Pematang Ulu; 150 m alt.",1,150,8,5,1,2,2,1,,4,6,19,3.5,16,4,17,4.5,10,2.5,2,,,,,,,,,,,,,,,,1
92,Haap 556,L 3928347,javensis,"Sumatera, Batoe Island; ♂",1,94,10,5,2,2,1,1,32,2,6,20,3.5,19,4,17,4.5,8,2.5,2,1,2,,,6,6.0,,,1,0,,,,,,1
93,Lorzing 8744,L 3928270,javensis,"Sumatera, Sibolangit, Karo Plateu, Kabanjahe;1150 m alt",1,1150,6,4,1,3,2,2,40,5,5,17,3.5,17,4.5,15,5,10.5,3,2,2,0,,,,5.0,1,1,,,,,,,,1
94,JD 3595,L 3928342,javensis,"Sumatera, bengkulu, Kepahiang km 20; 500 m alt.; infruct",1,500,8,5,1,1,1,1,40,0,7,19.5,3,20,4,19,3.5,9,2.5,0,2,0,2,7,5,8.0,1,1,,,9,2,,,,1
95,Harry Wiriadinata & Mashuri 669,L 3928267,javensis,"North Sumatera, Bohorok, Bkt lawang, Mt. Sinar Alas; 250 m alt.; ♂",1,250,10,7,2,3,1,1,42,0,7,14,3.5,13.5,3.5,15,3.5,5,1,2,2,2,,,,8.5,,,1,1,,,,,,1
96,WJ Lutjeharms WJL 4253,L 3933513,javensis,"Indonesia, Palembang, Enggano Isl.",1,180,8,4,1,3,1,1,56,0,,19,3.5,20,3,14,3.5,5.5,1.5,0,2,2,,,,9.0,1,0,,,,,,,,1
